fire_count_scaled,residue_scaled,avg_temp_scaled,rainfall_scaled,district
-0.6479342584472634,-0.23110479634747794,-1.2131468179353726,1.8769076512654674,Ambala
0.3351041149347043,0.5219216871468496,-0.20806317586726789,0.3071166047345982,Amritsar
1.0505304593033027,-0.07179242993144257,-0.020290196524535422,-0.2700774956435224,Barnala
2.286942484862994,1.3354709466173336,0.7523245304625322,-1.200889114465134,Bathinda
-0.8510221309712944,-0.8734410774630351,0.470637256314041,-0.6308005955106848,Bhiwani
-0.3492756223825117,-1.4053930710843328,0.17637388343931626,-0.2639297505052981,Charkhi Dadri
-0.8934247117428131,-1.3999545842485879,0.4399583795019806,-0.2577820053670734,Faridabad
0.6291439604649662,-0.14374256490549425,0.459484126230265,-0.8248210863515295,Faridkot
0.14038562977016225,1.0982653295649147,0.6335459031250863,-1.0670021720550136,Fatehabad
-0.16494073398347672,-0.5514303636442861,0.17637388343931626,-0.2639297505052981,Fatehgarh Sahib
0.5711833484193768,0.5169343475145246,1.379246895616103,-1.6151924032794285,Fazilka
2.0572184293317926,-0.14374256490549425,0.612098330931424,-0.832351829799863,Ferozepur
-0.3492756223825117,1.1220325628999723,0.17637388343931626,-0.2639297505052981,Firozepur
0.17737068179446003,0.48946071884599723,-0.98831613683165,2.2704561915884756,Gurdaspur
-0.9000229839349413,-1.3917968539949703,0.46077461158532085,-0.4261559409730996,Gurugram
-0.6853360434521165,0.7875917690729877,0.8854800478771802,-1.164828533085995,Hisar
-0.47992141178665076,-0.27964852067076634,-0.6255638111591315,1.2547050193109992,Hoshiarpur
0.3331593610254455,0.49195640907903454,-0.6255638111591315,1.2547050193109992,Jalandhar
-0.7932004299192232,-0.6611701381553672,0.46077461158532085,-0.4261559409730996,Jhajjar
-0.3492756223825117,1.1666712967957686,0.13381730745312534,-0.4277148683968626,Jind
-0.28669621980243243,1.2798598040647091,-0.17510754922728758,0.019667980704109383,Kaithal
0.034604908205832834,-0.28037408802505465,-0.6255638111591315,1.2547050193109992,Kapurthala
-0.2844736439061364,1.460859444066844,-0.20282926821687047,0.2163274082497556,Karnal
-0.5534747828546907,0.2979580011423301,-0.5034420253099874,1.172985946018958,Kurukshetra
1.3328323258812522,1.8223737051730218,-0.23332005147274038,0.34462371438155504,Ludhiana
-0.9171090361377155,-1.2000052166781543,0.7749464606852569,-0.8036265150761086,Mahendragarh
-0.3492756223825117,-0.9599894968725067,0.17637388343931626,-0.2639297505052981,Malerkotla
1.1242574691132408,0.31062862960676274,0.31398967152979057,-0.762693674632733,Mansa
1.7961352170137932,0.8019240121451681,0.1892656522207147,-0.352216844040402,Moga
-0.7827473776569569,-0.14374256490549425,0.17637388343931626,-0.2639297505052981,Mohali
1.4653534136978907,0.8852243737317048,0.943124998261798,-1.2585498814650622,Muktsar
-0.5946271646845431,-0.7665042153980686,0.17637388343931626,-0.2639297505052981,Nawanshahr
-0.9159196107557135,-1.15165366965411,0.7369074012398225,-0.6903037312841502,Nuh
-0.8461602461981472,-0.7305958216679231,0.7933681800185347,-0.4667173755098738,Palwal
-0.8884933714729067,-1.4982722290760384,-1.2131468179353726,1.8769076512654674,Panchkula
-0.7241616661405341,-0.5590285572715334,-0.20282926821687047,0.2163274082497556,Panipat
-0.828622733266438,-1.3109951538427584,-5.537975412942873,2.592704571683587,Pathankot
1.3333185143585673,1.402508140839287,-0.33408749410824673,0.6302348565583301,Patiala
-0.9145044550092438,-1.4285066401362485,0.7369074012398225,-0.6903037312841502,Rewari
-0.7567710218689996,-0.48297471792791336,0.17637388343931626,-0.20283836578912764,Rohtak
-0.7187788651416928,-0.994933735785017,-0.42136290417869593,1.2173884995371667,Rupnagar
-0.3492756223825117,-1.1643020735329157,0.17637388343931626,-0.2639297505052981,S.A.S Nagar
3.2528600782938093,2.39436002147966,0.31398967152979057,-0.762693674632733,Sangrur
-0.26335917289132604,1.2584457621489638,1.0219623678421181,-1.4527316406600883,Sirsa
-0.6882879020643844,0.09613915372210942,0.17637388343931626,-0.20283836578912764,Sonipat
1.003821637732711,0.561755988561548,-0.20806317586726789,0.3071166047345982,Tarn Taran
-0.7978539482020927,-0.277246958094501,-0.761297028091601,1.8239138926971814,Yamunanagar
