district,mean_count,mean_frp,slope,norm_count,norm_frp,norm_slope,BRS,risk_class
Ambala,869.6666666666666,5.003542438908685,70.8,6.455078450314801,30.226638740706278,9.532785781607647,14.5,Low
Amritsar,4014.8888888888887,5.6976140323589615,374.8,30.029314767314037,46.09730167006896,50.464521341052915,41.0,Moderate
Barnala,6303.888888888889,7.457588516822954,343.2,47.18594889903061,86.34093369706957,46.20977514474215,58.6,High
Bathinda,10259.777777777777,7.294170653570025,666.8,76.83633698657518,82.60421568584655,89.78053049683587,82.4,Critical
Bhiwani,219.88888888888889,6.180912230760555,12.6,1.5848296079149873,57.14841350576671,1.6965127238454287,18.3,Low
Faridabad,84.22222222222223,3.987342909113173,9.0,0.5679736167094175,6.990188267075368,1.211794802746735,2.7,Low
Faridkot,4955.666666666667,7.870577438768722,328.8,37.08068223458476,95.7843514015455,44.270903460347384,56.8,High
Fatehabad,3391.8888888888887,6.799898721608993,0.0,25.359772144308607,71.30217811274363,0.0,31.5,Moderate
Fatehgarh Sahib,2415.0,6.323060367213323,36.3,18.03774276291682,60.39877727366604,4.887572371078496,26.8,Moderate
Fazilka,4770.222222222223,7.527684784664566,318.3,35.69072920483694,87.94375716660588,42.857142857142854,53.5,High
Ferozepur,9524.777777777777,8.054940370120653,617.1,71.32732602684966,100.0,83.08873030833446,83.5,Critical
Gurdaspur,3510.222222222222,5.545792848491627,273.6,26.24671041673607,42.625753695143985,36.83856200350074,34.3,Moderate
Gurugram,63.111111111111114,5.146970066900262,4.5,0.40974049768479964,33.50625940245493,0.6058974013733675,10.4,Low
Hisar,750.0,5.035786853946046,69.7,5.5581465072121,30.963940551126925,9.384677527938603,14.3,Low
Hoshiarpur,1407.2222222222222,6.172531079733371,61.0,10.484193344215331,56.95676984224883,8.213275885283425,23.7,Low
Jalandhar,4008.6666666666665,6.211410439888685,163.4,29.982677637496256,57.845786516835545,22.000807863201832,35.9,Moderate
Jhajjar,404.8888888888889,6.574967415204021,15.2,2.971451414104401,66.15889177182203,2.046586777972263,21.7,Low
Jind,1825.2222222222222,6.055110301506423,116.6,13.617209100902762,54.271822626818874,15.69947488891881,26.4,Moderate
Kaithal,2025.4444444444443,6.137824424555721,19.7,15.11792531396782,56.16316637118331,2.6524841793456306,23.7,Low
Kapurthala,3053.4444444444443,6.730224188656273,207.4,22.823045404577105,69.70899804646766,27.925138009963646,38.4,Moderate
Karnal,2032.5555555555557,5.972459792615686,0.0,15.17122489090243,52.38193348580887,0.0,21.8,Low
Kurukshetra,1171.888888888889,5.107051318527315,0.3,8.720310470035646,32.593476044127684,0.04039316009155783,13.3,Low
Ludhiana,7207.111111111111,6.496613979120272,67.0,53.95582797561545,64.367259633038,9.021139087114582,43.6,Moderate
Mahendragarh,8.444444444444445,4.314495828245828,0.5,0.0,14.470877226122056,0.06732193348592971,4.4,Low
Mansa,6539.777777777777,6.661948106584756,464.5,48.95399580265831,68.14779500211316,62.5420762084287,58.8,High
Moga,8689.444444444445,7.597615243530727,404.5,65.06629134881243,89.54278924288406,54.46344419011714,69.2,High
Mohali,438.3333333333333,4.566060756453325,17.8,3.222125986874979,20.22316880253352,2.396660832099098,8.1,Low
Muktsar,7631.111111111111,7.482172572267809,374.1,57.133815250341456,86.90307348363328,50.37027063417261,64.0,High
Nawanshahr,1040.2222222222222,5.86570828382222,6.0,7.733435490855792,49.94095012148483,0.8078632018311566,18.3,Low
Nuh,12.25,3.6816410533910533,1.1,0.028523601718911357,0.0,0.14810825366904537,0.1,Low
Palwal,235.44444444444446,5.191687208602855,1.0,1.7014224324594425,34.52876297387829,0.13464386697185943,11.1,Low
Panchkula,100.0,5.1488007155880755,0.8,0.6862320530330791,33.54811907304301,0.10771509357748754,10.4,Low
Panipat,625.7777777777778,5.6585314610331885,71.1,4.627069522635665,45.20363836245434,9.573178941699204,18.3,Low
Pathankot,291.55555555555554,6.16524356070602,23.7,2.1219894067090843,56.79013320250468,3.191059647233068,18.8,Low
Patiala,7208.666666666667,6.593669867118354,647.7,53.967487258069895,66.58654262669924,87.20883263767335,67.7,High
Rewari,16.77777777777778,5.862035497835498,0.7,0.062460441720243856,49.85696808136532,0.0942507068803016,15.0,Low
Rohtak,521.4444444444445,6.036993565711857,60.2,3.8450647922982113,53.85756477519499,8.105560791705939,20.1,Low
Rupnagar,643.0,5.541787697295606,27.7,4.756154435524168,42.53417178167423,3.729635115120506,15.8,Low
Sangrur,13350.222222222223,7.047344638548714,742.7,100.00000000000001,76.96028424769634,100.0,93.1,Critical
Sirsa,2100.1111111111113,6.287896633101694,0.0,15.677570871781208,59.59472222129142,0.0,24.1,Low
Sonipat,740.5555555555555,6.234930112921226,75.8,5.487358006595823,58.38358810161546,10.206005116466944,22.8,Low
Tarn Taran,6154.444444444444,6.248939732036008,595.2,46.06582497751424,58.703932493804444,80.14002962165074,60.1,High
Yamunanagar,390.0,3.9878466914590853,24.8,2.859855424897565,7.001707770073608,3.339167900902114,4.2,Low
