state,district,year,crop,production_t
Punjab,Muktsar,2020 - 2021,Wheat,1087000.0
Punjab,Muktsar,2021 - 2022,Wheat,992000.0
Punjab,Muktsar,2022 - 2023,Wheat,1019100.0
Punjab,Nawanshahr,2010 - 2011,Wheat,348000.0
Punjab,Nawanshahr,2011 - 2012,Wheat,387000.0
Punjab,Nawanshahr,2012 - 2013,Wheat,382000.0
Punjab,Nawanshahr,2013 - 2014,Wheat,371000.0
Punjab,Nawanshahr,2014 - 2015,Wheat,282000.0
Punjab,Nawanshahr,2015 - 2016,Wheat,368000.0
Punjab,Nawanshahr,2016 - 2017,Wheat,374000.0
Punjab,Nawanshahr,2017 - 2018,Wheat,385000.0
Punjab,Nawanshahr,2018 - 2019,Wheat,385000.0
Punjab,Nawanshahr,2019 - 2020,Wheat,391000.0
Punjab,Nawanshahr,2020 - 2021,Wheat,384000.0
Punjab,Nawanshahr,2021 - 2022,Wheat,299000.0
Punjab,Nawanshahr,2022 - 2023,Wheat,386300.0
Punjab,Pathankot,2012 - 2013,Wheat,173000.0
Punjab,Pathankot,2013 - 2014,Wheat,167000.0
Punjab,Pathankot,2014 - 2015,Wheat,115000.0
Punjab,Pathankot,2015 - 2016,Wheat,166000.0
Punjab,Pathankot,2016 - 2017,Wheat,168000.0
Punjab,Pathankot,2017 - 2018,Wheat,165000.0
Punjab,Pathankot,2018 - 2019,Wheat,163000.0
Punjab,Pathankot,2019 - 2020,Wheat,158000.0
Punjab,Pathankot,2020 - 2021,Wheat,182000.0
Punjab,Pathankot,2021 - 2022,Wheat,144000.0
Punjab,Pathankot,2022 - 2023,Wheat,160300.0
Punjab,Patiala,2010 - 2011,Wheat,1141000.0
Punjab,Patiala,2011 - 2012,Wheat,1297000.0
Punjab,Patiala,2012 - 2013,Wheat,1123000.0
Punjab,Patiala,2013 - 2014,Wheat,1153000.0
Punjab,Patiala,2014 - 2015,Wheat,1024000.0
Punjab,Patiala,2015 - 2016,Wheat,1073000.0
Punjab,Patiala,2016 - 2017,Wheat,1193000.0
Punjab,Patiala,2017 - 2018,Wheat,1223000.0
Punjab,Patiala,2018 - 2019,Wheat,1275000.0
Punjab,Patiala,2019 - 2020,Wheat,1116000.0
Punjab,Patiala,2020 - 2021,Wheat,1162000.0
Punjab,Patiala,2021 - 2022,Wheat,907000.0
Punjab,Patiala,2022 - 2023,Wheat,1145100.0
Punjab,Rupnagar,2010 - 2011,Wheat,253000.0
Punjab,Rupnagar,2011 - 2012,Wheat,297000.0
Punjab,Rupnagar,2012 - 2013,Wheat,284000.0
Punjab,Rupnagar,2013 - 2014,Wheat,307000.0
Punjab,Rupnagar,2014 - 2015,Wheat,266000.0
Punjab,Rupnagar,2015 - 2016,Wheat,274000.0
Punjab,Rupnagar,2016 - 2017,Wheat,328000.0
Punjab,Rupnagar,2017 - 2018,Wheat,326000.0
Punjab,Rupnagar,2018 - 2019,Wheat,315000.0
Punjab,Rupnagar,2019 - 2020,Wheat,299000.0
Punjab,Rupnagar,2020 - 2021,Wheat,310000.0
Punjab,Rupnagar,2021 - 2022,Wheat,248000.0
Punjab,Rupnagar,2022 - 2023,Wheat,306300.0
Punjab,S.a.s nagar,2010 - 2011,Wheat,227000.0
Punjab,S.a.s nagar,2011 - 2012,Wheat,249000.0
Punjab,S.a.s nagar,2012 - 2013,Wheat,233000.0
Punjab,S.a.s nagar,2013 - 2014,Wheat,228000.0
Punjab,S.a.s nagar,2014 - 2015,Wheat,198000.0
Punjab,S.a.s nagar,2015 - 2016,Wheat,232000.0
Punjab,S.a.s nagar,2016 - 2017,Wheat,235000.0
Punjab,S.a.s nagar,2017 - 2018,Wheat,248000.0
Punjab,S.a.s nagar,2018 - 2019,Wheat,232000.0
Punjab,S.a.s nagar,2019 - 2020,Wheat,226000.0
Punjab,S.a.s nagar,2020 - 2021,Wheat,212000.0
Punjab,S.a.s nagar,2021 - 2022,Wheat,186000.0
Punjab,S.a.s nagar,2022 - 2023,Wheat,217000.0
Punjab,Sangrur,2010 - 2011,Wheat,1472000.0
Punjab,Sangrur,2011 - 2012,Wheat,1577000.0
Punjab,Sangrur,2012 - 2013,Wheat,1473000.0
Punjab,Sangrur,2013 - 2014,Wheat,1567000.0
Punjab,Sangrur,2014 - 2015,Wheat,1366000.0
Punjab,Sangrur,2015 - 2016,Wheat,1373000.0
Punjab,Sangrur,2016 - 2017,Wheat,1589000.0
Punjab,Sangrur,2017 - 2018,Wheat,1599000.0
Punjab,Sangrur,2018 - 2019,Wheat,1682000.0
Punjab,Sangrur,2019 - 2020,Wheat,1678000.0
Punjab,Sangrur,2020 - 2021,Wheat,1532000.0
Punjab,Sangrur,2021 - 2022,Wheat,989000.0
Punjab,Sangrur,2022 - 2023,Wheat,1257700.0
Punjab,Tarn taran,2010 - 2011,Wheat,850000.0
Punjab,Tarn taran,2011 - 2012,Wheat,902000.0
Punjab,Tarn taran,2012 - 2013,Wheat,798000.0
Punjab,Tarn taran,2013 - 2014,Wheat,931000.0
Punjab,Tarn taran,2014 - 2015,Wheat,777000.0
Punjab,Tarn taran,2015 - 2016,Wheat,842000.0
Punjab,Tarn taran,2016 - 2017,Wheat,886000.0
Punjab,Tarn taran,2017 - 2018,Wheat,871000.0
Punjab,Tarn taran,2018 - 2019,Wheat,916000.0
Punjab,Tarn taran,2019 - 2020,Wheat,855000.0
Punjab,Tarn taran,2020 - 2021,Wheat,880000.0
Punjab,Tarn taran,2021 - 2022,Wheat,796000.0
Punjab,Tarn taran,2022 - 2023,Wheat,886400.0
Haryana,Ambala,2022-23,Rice,390000.0
Haryana,Bhiwani,2022-23,Rice,73000.0
Haryana,Charkhi Dadri,2022-23,Rice,19000.0
Haryana,Faridabad,2022-23,Rice,43000.0
Haryana,Fatehabad,2022-23,Rice,586000.0
Haryana,Gurugram,2022-23,Rice,13000.0
Haryana,Hisar,2022-23,Rice,304000.0
Haryana,Jhajjar,2022-23,Rice,149000.0
Haryana,Jind,2022-23,Rice,573000.0
Haryana,Kaithal,2022-23,Rice,781000.0
Haryana,Karnal,2022-23,Rice,719000.0
Haryana,Kurukshetra,2022-23,Rice,588000.0
Haryana,Nuh,2022-23,Rice,25000.0
Haryana,Palwal,2022-23,Rice,108000.0
Haryana,Panchkula,2022-23,Rice,34000.0
Haryana,Panipat,2022-23,Rice,245000.0
Haryana,Rewari,2022-23,Rice,5000.0
Haryana,Rohtak,2022-23,Rice,230000.0
Haryana,Sirsa,2022-23,Rice,395000.0
Haryana,Sonipat,2022-23,Rice,345000.0
Haryana,Yamunanagar,2022-23,Rice,295000.0
Haryana,Ambala,2022-23,Wheat,412000.0
Haryana,Bhiwani,2022-23,Wheat,371000.0
Haryana,Charkhi Dadri,2022-23,Wheat,138000.0
Haryana,Faridabad,2022-23,Wheat,118000.0
Haryana,Fatehabad,2022-23,Wheat,936000.0
Haryana,Gurugram,2022-23,Wheat,151000.0
Haryana,Hisar,2022-23,Wheat,1039000.0
Haryana,Jhajjar,2022-23,Wheat,412000.0
Haryana,Jind,2022-23,Wheat,985000.0
Haryana,Kaithal,2022-23,Wheat,847000.0
Haryana,Karnal,2022-23,Wheat,1003000.0
Haryana,Kurukshetra,2022-23,Wheat,506000.0
Haryana,Mahendragarh,2022-23,Wheat,133000.0
Haryana,Nuh,2022-23,Wheat,268000.0
Haryana,Palwal,2022-23,Wheat,414000.0
Haryana,Panchkula,2022-23,Wheat,74000.0
Haryana,Panipat,2022-23,Wheat,375000.0
Haryana,Rewari,2022-23,Wheat,139000.0
Haryana,Rohtak,2022-23,Wheat,430000.0
Haryana,Sirsa,2022-23,Wheat,1204000.0
Haryana,Sonipat,2022-23,Wheat,630000.0
Haryana,Yamunanagar,2022-23,Wheat,478000.0
