state,district,year,crop,production_t
Punjab,Hoshiarpur,2018 - 2019,Rice,279000.0
Punjab,Hoshiarpur,2019 - 2020,Rice,312000.0
Punjab,Hoshiarpur,2020 - 2021,Rice,330000.0
Punjab,Hoshiarpur,2021 - 2022,Rice,291000.0
Punjab,Hoshiarpur,2022 - 2023,Rice,255000.0
Punjab,Jalandhar,2010 - 2011,Rice,588000.0
Punjab,Jalandhar,2011 - 2012,Rice,583000.0
Punjab,Jalandhar,2012 - 2013,Rice,625000.0
Punjab,Jalandhar,2013 - 2014,Rice,596000.0
Punjab,Jalandhar,2014 - 2015,Rice,616000.0
Punjab,Jalandhar,2015 - 2016,Rice,653000.0
Punjab,Jalandhar,2016 - 2017,Rice,699000.0
Punjab,Jalandhar,2017 - 2018,Rice,715000.0
Punjab,Jalandhar,2018 - 2019,Rice,719000.0
Punjab,Jalandhar,2019 - 2020,Rice,713000.0
Punjab,Jalandhar,2020 - 2021,Rice,797000.0
Punjab,Jalandhar,2021 - 2022,Rice,747000.0
Punjab,Jalandhar,2022 - 2023,Rice,733000.0
Punjab,Kapurthala,2010 - 2011,Rice,460000.0
Punjab,Kapurthala,2011 - 2012,Rice,433000.0
Punjab,Kapurthala,2012 - 2013,Rice,445000.0
Punjab,Kapurthala,2013 - 2014,Rice,451000.0
Punjab,Kapurthala,2014 - 2015,Rice,439000.0
Punjab,Kapurthala,2015 - 2016,Rice,474000.0
Punjab,Kapurthala,2016 - 2017,Rice,483000.0
Punjab,Kapurthala,2017 - 2018,Rice,513000.0
Punjab,Kapurthala,2018 - 2019,Rice,512000.0
Punjab,Kapurthala,2019 - 2020,Rice,496000.0
Punjab,Kapurthala,2020 - 2021,Rice,511000.0
Punjab,Kapurthala,2021 - 2022,Rice,503000.0
Punjab,Kapurthala,2022 - 2023,Rice,509000.0
Punjab,Ludhiana,2010 - 2011,Rice,1133000.0
Punjab,Ludhiana,2011 - 2012,Rice,1094000.0
Punjab,Ludhiana,2012 - 2013,Rice,1169000.0
Punjab,Ludhiana,2013 - 2014,Rice,1137000.0
Punjab,Ludhiana,2014 - 2015,Rice,1119000.0
Punjab,Ludhiana,2015 - 2016,Rice,1181000.0
Punjab,Ludhiana,2016 - 2017,Rice,1247000.0
Punjab,Ludhiana,2017 - 2018,Rice,1224000.0
Punjab,Ludhiana,2018 - 2019,Rice,1153000.0
Punjab,Ludhiana,2019 - 2020,Rice,1211000.0
Punjab,Ludhiana,2020 - 2021,Rice,1264000.0
Punjab,Ludhiana,2021 - 2022,Rice,1246000.0
Punjab,Ludhiana,2022 - 2023,Rice,1236000.0
Punjab,Malerkotla,2021 - 2022,Rice,279000.0
Punjab,Malerkotla,2022 - 2023,Rice,277000.0
Punjab,Mansa,2010 - 2011,Rice,316000.0
Punjab,Mansa,2011 - 2012,Rice,292000.0
Punjab,Mansa,2012 - 2013,Rice,321000.0
Punjab,Mansa,2013 - 2014,Rice,334000.0
Punjab,Mansa,2014 - 2015,Rice,296000.0
Punjab,Mansa,2015 - 2016,Rice,363000.0
Punjab,Mansa,2016 - 2017,Rice,442000.0
Punjab,Mansa,2017 - 2018,Rice,499000.0
Punjab,Mansa,2018 - 2019,Rice,514000.0
Punjab,Mansa,2019 - 2020,Rice,489000.0
Punjab,Mansa,2020 - 2021,Rice,578000.0
Punjab,Mansa,2021 - 2022,Rice,561000.0
Punjab,Mansa,2022 - 2023,Rice,593000.0
Punjab,Moga,2010 - 2011,Rice,745000.0
Punjab,Moga,2011 - 2012,Rice,759000.0
Punjab,Moga,2012 - 2013,Rice,794000.0
Punjab,Moga,2013 - 2014,Rice,815000.0
Punjab,Moga,2014 - 2015,Rice,815000.0
Punjab,Moga,2015 - 2016,Rice,871000.0
Punjab,Moga,2016 - 2017,Rice,816000.0
Punjab,Moga,2017 - 2018,Rice,869000.0
Punjab,Moga,2018 - 2019,Rice,817000.0
Punjab,Moga,2019 - 2020,Rice,826000.0
Punjab,Moga,2020 - 2021,Rice,892000.0
Punjab,Moga,2021 - 2022,Rice,861000.0
Punjab,Moga,2022 - 2023,Rice,927000.0
Punjab,Muktsar,2010 - 2011,Rice,432000.0
